TIMESTAMP                  	APPDOMAIN                                    	LOGGERNAME                                 	THREADNAME                                	LEVEL    	MESSAGE
2022-12-28 15:04:53,591    	OlympicWords                                 	EFCoreLogs-default                         	42                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-28 15:04:53,678    	OlympicWords                                 	EFCoreLogs-default                         	10                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-28 15:04:54,815    	OlympicWords                                 	EFCoreLogs-default                         	10                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-28 15:11:06,938    	OlympicWords                                 	EFCoreLogs-default                         	81                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-28 15:11:06,940    	OlympicWords                                 	EFCoreLogs-default                         	83                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-28 15:11:08,004    	OlympicWords                                 	EFCoreLogs-default                         	83                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-28 15:12:17,697    	OlympicWords                                 	EFCoreLogs-default                         	107                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-28 15:12:17,698    	OlympicWords                                 	EFCoreLogs-default                         	103                                       	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-28 15:12:18,721    	OlympicWords                                 	EFCoreLogs-default                         	103                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-28 15:12:22,817    	OlympicWords                                 	EFCoreLogs-default                         	103                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-28 15:12:22,818    	OlympicWords                                 	EFCoreLogs-default                         	95                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
