TIMESTAMP                  	APPDOMAIN                                    	LOGGERNAME                                 	THREADNAME                                	LEVEL    	MESSAGE
2022-12-24 16:25:30,092    	OlympicWords                                 	EFCoreLogs-default                         	220                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 16:41:14,785    	OlympicWords                                 	EFCoreLogs-default                         	295                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 16:41:14,790    	OlympicWords                                 	EFCoreLogs-default                         	312                                       	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 16:41:15,844    	OlympicWords                                 	EFCoreLogs-default                         	312                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 16:44:16,274    	OlympicWords                                 	EFCoreLogs-default                         	248                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 16:44:16,276    	OlympicWords                                 	EFCoreLogs-default                         	243                                       	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 16:44:17,362    	OlympicWords                                 	EFCoreLogs-default                         	243                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 16:46:05,136    	OlympicWords                                 	EFCoreLogs-default                         	242                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 16:46:05,141    	OlympicWords                                 	EFCoreLogs-default                         	234                                       	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 16:46:06,225    	OlympicWords                                 	EFCoreLogs-default                         	234                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 16:46:23,115    	OlympicWords                                 	EFCoreLogs-default                         	218                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 16:46:23,121    	OlympicWords                                 	EFCoreLogs-default                         	242                                       	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 16:46:23,149    	OlympicWords                                 	EFCoreLogs-default                         	242                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 16:46:32,468    	OlympicWords                                 	EFCoreLogs-default                         	222                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
2022-12-24 16:46:32,470    	OlympicWords                                 	EFCoreLogs-default                         	215                                       	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[OlympicWords.Data.User] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2022-12-24 16:46:32,553    	OlympicWords                                 	EFCoreLogs-default                         	215                                       	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => (Extent1.Id == value(OlympicWords.Services.OfflineRepo).scopeRepo.UserId))'
2022-12-24 16:49:28,411    	OlympicWords                                 	EFCoreLogs-default                         	203                                       	INFO     	NCache EF Core Provider	:	Async operation requested.
